guid	speaker_name	orig_cs	fem_cs	changed
7e3fd30b-9eed-4980-8fd9-1af519d90b99	Areelu	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""	no
7b429f6b-3e17-4f01-a718-4aca9649ad42	Areelu	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	"""Získala jsem více, než jsem doufala. Dosáhla jsem svého cíle, přemohla jsem smrt — nevyřčená moc a věčnost leží přede mnou. Jak strávím tu věčnost? Ještě jsem se nerozhodla. Ale vím — z vlastní zkušenosti vím — že každý okamžik má cenu, když je stráven s tím, kdo je pro tebe nejdůležitější."""	no
590bcea2-9527-4ed1-a941-d1061e3097a7	Areelu	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	no
cd04e9ab-c34b-49ce-b0a7-25f064571101	Areelu	"""Byla jsem poražena. Vítěz mi ušetřil život gestem, které nebylo zcela milostí, ani zcela dobročinností. Zůstala jsem bez naděje, bez šance znovu najít smysl. Dožila jsem své poslední dny v odloučené chalupě daleko od všech, nikým potřebná, nikým nalezená."""	"""Byla jsem poražena. Vítěz mi ušetřila život gestem, které nebylo zcela milostí, ani zcela dobročinností. Zůstala jsem bez naděje, bez šance znovu najít smysl. Dožila jsem své poslední dny v odloučené chalupě daleko od všech, nikým potřebná, nikým nalezená."""	yes
102a4671-6e9d-45b6-a801-32d1706c9698	Areelu	"""Byla jsem poražena a padla rukou toho, koho jsem se snažila proměnit. Můj experiment skončil nezdarem a můj život s ním."""	"""Byla jsem poražena a padla rukou toho, koho jsem se snažila proměnit. Můj experiment skončila nezdarem a můj život s ním."""	yes
9fef8bad-d77c-45c3-ad34-32e1fa9ecb1d	Areelu	"""Byla jsem poražena. Padla jsem rukou toho, koho jsem plánovala proměnit v budoucnosti, která nepřišla. Můj experiment skončil nezdarem dřív, než vůbec začal. Což znamená, že jsem zemřela nevinná, dřív než jsem mohla spáchat jakékoli hříchy vůči vesmíru."""	"""Byla jsem poražena. Padla jsem rukou toho, koho jsem plánovala proměnit v budoucnosti, která nepřišla. Můj experiment skončila nezdarem dřív, než vůbec začala. Což znamená, že jsem zemřela nevinná, dřív než jsem mohla spáchat jakékoli hříchy vůči vesmíru."""	yes
91678ddf-3aa5-4810-9d6b-ded9211100a1	Areelu	"""Vyprávěla jsem ti příběh svého života, {g|Pharasma}Pharasma{/g}, Lady of Graves. Nejen o mém životě, ale i o Commandera. Věřím, že příběh tak proslulé postavy by vzbudil zvědavost i bohyně."""	"""Vyprávěla jsem ti příběh svého života, {g|Pharasma}Pharasma{/g}, Lady of Graves. Nejen o mém životě, ale i o Commandera. Věřím, že příběh tak proslulé postavy by vzbudila zvědavost i bohyně."""	yes
37ef9f4c-f71b-4cda-aa01-33d3af24cc39	Areelu	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	"""Přišla jsem sem říct, že {mf|he|she} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""	no
14bb7f75-e64d-4b06-a11d-40f0decd2d05	Areelu	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	"""Teď už víš vše. Očekávám tvůj rozsudek, bohyně."""	no
e8e08c11-ef47-4659-8161-f8795f262443	Areelu	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""	no
1b7e3c1f-a2db-4c3d-8492-23300d8c54e9	Epilogue PharasmasCourt	"""To už není tvoje věc. Tvůj čas vypršel."""	"""To už není tvoje věc. Tvůj čas vypršla."""	yes
d43805ab-46b4-4088-a072-95639c475907	Areelu	"""Předala jsem své poselství. Sbohem, Lady of Graves. Už se nesetkáme."""	"""Předala jsem své poselství. Sbohem, Lady of Graves. Už se nesetkáme."""	no
42cd424a-112a-4856-b999-a572e21d62e7	Epilogue PharasmasCourt	"""Jejich spojená moc narostla nesmírně, téměř srovnatelně s mou... Budiž."""	"""Jejich spojená moc narostla nesmírně, téměř srovnatelně s mou... Budiž."""	no
0edbbca2-a771-4718-bb54-4802fc194eb0	Epilogue PharasmasCourt	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné. Přesto i ony dovolují rozhodovateli osudů jistý stupeň vlivu na rozsudek."""	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné. Přesto i ony dovolují rozhodovateli osudů jistá stupeň vlivu na rozsudek."""	yes
348e5a46-3897-4c70-acaa-d2c0b7fad031	Epilogue PharasmasCourt	"""Spáchala jsi veliké zlo, ale tvé činy vycházely ze zla spáchaného na tobě. Přiznala jsi vinu a vykonala mnoho dobra — dokonce i ten, kdo z tvých činů nejvíce trpěl, nyní mluví v tvůj prospěch. Vidím nyní, že je tvá duše očištěna."""	"""Spáchala jsi veliké zlo, ale tvé činy vycházely ze zla spáchaného na tobě. Přiznala jsi vinu a vykonala mnoho dobra — dokonce i ten, kdo z tvých činů nejvíce trpěla, nyní mluví v tvůj prospěch. Vidím nyní, že je tvá duše očištěna."""	yes
6b499fc1-cc61-4e46-884f-7aeede4a06c0	Epilogue PharasmasCourt	"""Pošlu tě do Nirvany, roviny míru a duchovnosti, což je právě to, co nyní tvá duše potřebuje. Budiž."""	"""Pošlu tě do Nirvany, roviny míru a duchovnosti, což je právě to, co nyní tvá duše potřebuje. Budiž."""	no
501416da-041a-4666-9927-11d83457f0ae	Epilogue PharasmasCourt	"""„Služebníci Urgathoy nejsou vítáni v mých síních. Pryč, a nikdy se sem znovu neodvažujte přijít!“ {n}Hrobový hlas bohyně vyprchal a v {g|Boneyard}Boneyard{/g} opět zavládlo ticho.{/n} „A co tebe, Areelu Vorlesh...“"""	"""„Služebníci Urgathoy nejsou vítáni v mých síních. Pryč, a nikdy se sem znovu neodvažujte přijít!“ {n}Hrobová hlas bohyně vyprchala a v {g|Boneyard}Boneyard{/g} opět zavládlo ticho.{/n} „A co tebe, Areelu Vorlesh...“"""	yes
a7127642-b3c0-4b23-8898-0ae506516a70	Epilogue PharasmasCourt	"""Spáchala jsi veliké zlo — zabila jsi nespočet duší a uvedla samu existenci v nebezpečí. Tvá duše je temná a neschopná odčinění — dokonce i Abyss by pro tebe byl odměnou, ne trestem."""	"""Spáchalajsivelikézlo—zabilajsinespočetdušíauvedlasamuexistencivnebezpečí. Tvádušejetemnáaneschopnáodčinění—dokonceiAbybyssbyprotebebylaodměnou,netrestem."""	yes
21205eea-67ff-482a-a719-994fc97be536	Epilogue PharasmasCourt	"""Pro takového jako ty není ve vesmíru místo. Tak budiž."""	"""Pro takového jako ty není ve vesmíru místo. Tak budiž."""	no
eee2a9a0-2318-40fd-b6f3-bf2dc24d603f	Epilogue PharasmasCourt	"""Útěkář před mým soudem si přeje promluvit? Dopustím to."""	"""Útěkář před mým soudem si přeje promluvit? Dopustím to."""	no
6f4ddac8-7c3f-4281-b495-e913195f0067	Epilogue PharasmasCourt	"""Teď ty, {name}, smrtelníku, jenž ses povznesl tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu. Dokázal jsi nemožné a budeš zapamatován, dokud tento vesmír existuje. Jdi, prožij zbytek svého života — těším se na pověsti o tvých budoucích skutcích."""	"""Teď ty, {name}, smrtelníku, jenž ses povznesla tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu. Dokázala jsi nemožné a budeš zapamatován, dokud tento vesmír existuje. Jdi, prožij zbytek svého života — těším se na pověsti o tvých budoucích skutcích."""	yes
9952fcd4-adf5-4455-a6d2-43e7d167877f	Epilogue PharasmasCourt	"""Teď ty, {name}, smrtelníku, jenž ses povznesl tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu. Dokázal jsi nemožné a budeš zapamatován, dokud tento vesmír existuje. Zasloužil sis svůj pokoj."""	"""Teď ty, {name}, smrtelníku, jenž ses povznesla tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu. Dokázala jsi nemožné a budeš zapamatován, dokud tento vesmír existuje. Zasloužila sis svůj pokoj."""	yes
cdd8b0a2-372c-4591-95f7-4448a818a4dc	Epilogue PharasmasCourt	"""Teď ty, {name}, smrtelníku, jenž ses povznesl tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu — a díváš se na ni shora. Jdi, prožij zbytek svého života, ale pamatuj — znovu se setkáme v této síni. Tvé dnešní uniknutí je jen odklad."""	"""Teď ty, {name}, smrtelníku, jenž ses povznesla tak vysoko, že stojíš odvážně v přítomnosti bohyně osudu — a díváš se na ni shora. Jdi, prožij zbytek svého života, ale pamatuj — znovu se setkáme v této síni. Tvé dnešní uniknutí je jen odklad."""	yes
e44c123f-c54d-4026-b380-d2c2f0e1b70c	Areelu	"""Byl jsem poražen, avšak vítěz rozhodl nechat vše beze změny. Pokračoval jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žil jsem ve Worldwoundu. Otevíral jsem nové trhliny a vedl démony na Golarion. Pokračoval jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	"""Byla jsem poražen, avšak vítěz rozhodla nechat vše beze změny. Pokračovala jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žila jsem ve Worldwoundu. Otevírala jsem nové trhliny a vedla démony na Golarion. Pokračovala jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""	yes
753fd1bf-cb7c-435d-8672-5b01f06dfb45	Areelu	"""Můj experiment skončil úspěchem. Ve válce mezi Golarionem a Abyss jsem vystoupil jako vítěz. Trvalo sto let a milion smrti, než jsem přivedl zpět toho, komu byl tak krutě uťat život. A stálo to ještě jeden život — ten můj — aby {mf|him|her} mohl dál žít."""	"""Můjexperimentskončilaúspěchem. VeválcemeziGolarionemaAbybyssjsemvystoupilajakovítěz. Trvalostoletamilionsmrti,nežjsempřivedlazpěttoho,komubylatakkrutěuťatživot. Astálotoještějedenživot—tenmůj—abyby{mf|him|her} mohla dál žít."""	yes
fda4f24a-172b-496a-89ed-36b105790211	Epilogue PharasmasCourt	"""{mf|On|Ona} už není v mé moci. To je pravda. Božstvo dalo {mf|jemu|ji} právo rozhodnout o {mf|jeho|jejím} vlastním osudu. Ale ty — ty jsi vstoupil do mého {g|Boneyard}Boneyard{/g}, abys mi přinesl tyto zprávy, a je v mé moci tě zničit, zneexistnit a vymazat z kosmu. Zajímá mě, očekával {mf|on|ona} takový výsledek? Úmyslně si tě vybral, abys byl {mf|jeho|její} vyslancem?"""	"""{mf|On|Ona} už není v mé moci. To je pravda. Božstvo dalo {mf|jemu|ji} právo rozhodnout o {mf|jeho|jejím} vlastním osudu. Ale ty — ty jsi vstoupila do mého {g|Boneyard}Boneyard{/g},abybyssmipřineslatytozprávy,ajevmémocitězničit,zneexistnitavymazatzkosmu. Zajímámě,očekávala{mf|on|ona}takovývýsledek? Úmyslněsitěvybrala,abybyssbyla{mf|jeho|její} vyslancem?"""	yes
4e8ac266-57d6-40ab-9466-fa64d97aaa1f	Epilogue PharasmasCourt	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné."""	"""Zákony vesmíru existují po tisíciletí. Jsou nezpochybnitelné."""	no
ea679b24-6a24-418d-9abb-e4b72e4413ed	MythicLocust Ch5	"{n}Anevia ve svých tlumených barvách splývá téměř dokonale s pozadím. Působí uvolněně, avšak její zdánlivě nepřítomné oči všechno vnímají, sledují a filtrují možné hrozby. Jediným rozpoznatelným znakem je, jak si bubnuje prsty na kyčli u pochvy své zbraně. Nejeví známky zranění a sebedůvěrně se opírá o dříve zlomenou nohu. Předstírá, že si tě právě všimla, přestože tě sledovala z dálky.{/n} ""Och! Ahoj! Vidíš, jak mě spravili! Teď můžu běžet, skákat nebo si zatančit jigu, když se mi zachce."""	"{n}Anevia ve svých tlumených barvách splývá téměř dokonale s pozadím. Působí uvolněně, avšak její zdánlivě nepřítomné oči všechno vnímají, sledují a filtrují možné hrozby. Jediným rozpoznatelným znakem je, jak si bubnuje prsty na kyčli u pochvy své zbraně. Nejeví známky zranění a sebedůvěrně se opírá o dříve zlomenou nohu. Předstírá, že si tě právě všimla, přestože tě sledovala z dálky.{/n} ""Och! Ahoj! Vidíš, jak mě spravili! Teď můžu běžet, skákat nebo si zatančit jigu, když se mi zachce."""	no
e6764db6-ee71-4278-bd92-3103ac2b7fcd	MythicLocust Ch5	"""Podívej, kdo to je! Ahoj!"""	"""Podívej, kdo to je! Ahoj!"""	no
a438d597-6e2f-408d-a5d8-5819082cf30c	MythicLocust Ch5	"{n}Pokrčí rameny s líným úsměvem.{/n} ""Ráda bych, ale vlastně není o čem vyprávět. Co je na mně tak zajímavého?"""	"{n}Pokrčí rameny s líným úsměvem.{/n} ""Ráda bych, ale vlastně není o čem vyprávět. Co je na mně tak zajímavého?"""	no
cfc14dd8-e764-41c6-b36e-8309839f3867	MythicLocust Ch5	"""V nikam — byla jsem odfouknuta větrem a našli mě v záhoně zelí..."" {n}Zarazí se.{/n} ""Promiň, to je můj starý zvyk. Nerada mluvím o své minulosti. Ale zachránil jsi mi kůži, takže ti dlužím, že se nebudu vysmívat, ano?"""	"""V nikam — byla jsem odfouknuta větrem a našli mě v záhoně zelí..."" {n}Zarazí se.{/n} ""Promiň, to je můj stará zvyk. Nerada mluvím o své minulosti. Ale zachránila jsi mi kůži, takže ti dlužím, že se nebudu vysmívat, ano?"""	yes
fdd26e04-926f-406f-8724-84cb5715cee5	MythicLocust Ch5	"""Jsem z {g|Nidal}Nidal{/g}. A své vlasti bych nepřála ani tomu nejhoršímu nepříteli. Určitě o ní slyšíš — vládnou tam příšery, které nejsou ani živé, ani mrtvé, a oficiálním náboženstvím je kult {g|Zon-Kuthon}Zon-Kuthon{/g}. Vyrůstala jsem v chudinské čtvrti, jako plevel mezi dlažebními kostkami. Tátu jsem neměla, ale měla jsem spoustu tet a strýců... kumpánů mé matky. Netipuj, v čem měla mamka prsty. Dali mi sadu nástrojů na vypáčení zámků, jakmile jsem byla schopna držet lžíci, a zatímco ostatní děti si rýpaly v nose, já tahala peněženky."""	"""Jsem z {g|Nidal}Nidal{/g}. A své vlasti bych nepřála ani tomu nejhoršímu nepříteli. Určitě o ní slyšíš — vládnou tam příšery, které nejsou ani živé, ani mrtvé, a oficiálním náboženstvím je kult {g|Zon-Kuthon}Zon-Kuthon{/g}. Vyrůstala jsem v chudinské čtvrti, jako plevel mezi dlažebními kostkami. Tátu jsem neměla, ale měla jsem spoustu tet a strýců... kumpánů mé matky. Netipuj, v čem měla mamka prsty. Dali mi sadu nástrojů na vypáčení zámků, jakmile jsem byla schopna držet lžíci, a zatímco ostatní děti si rýpaly v nose, já tahala peněženky."""	no
89ceece7-fd65-485e-a930-ecfa5824e116	MythicLocust Ch5	"""Když mi bylo dvanáct, přišli pro nás mniši Tichého pláště. Děsiví chlapi s prošitými ústy, jsou to strážci v Nisroch. Máma mě svěřila svým přátelům a schovali jsme se v tajném chrámu {g|Desna}Desna{/g}. Mamku jsem už nikdy neviděla."""	"""Když mi bylo dvanáct, přišli pro nás mniši Tichého pláště. Děsiví chlapi s prošitými ústy, jsou to strážci v Nisroch. Máma mě svěřila svým přátelům a schovali jsme se v tajném chrámu {g|Desna}Desna{/g}. Mamku jsem už nikdy neviděla."""	no
c7b19f2d-2ad5-40d8-b59f-a9c264b14ce3	MythicLocust Ch5	"""Příštích pár let jsem setrvala v chrámu, držela jsem hlavu skloněnou. Myla jsem podlahy, nosila vodu, poslouchala kázání. Smutné je, že po čase se mi začalo líbit učení {g|Desna}Desna{/g}. Ale jakmile jsem dospěla, zmizela jsem — opustila jsem {g|Nidal}Nidal{/g} a dostala se co nejdál."""	"""Příštích pár let jsem setrvala v chrámu, držela jsem hlavu skloněnou. Myla jsem podlahy, nosila vodu, poslouchala kázání. Smutné je, že po čase se mi začalo líbit učení {g|Desna}Desna{/g}. Ale jakmile jsem dospěla, zmizela jsem — opustila jsem {g|Nidal}Nidal{/g} a dostala se co nejdál."""	no
7e982062-1445-4130-acb5-17857b34f8f6	MythicLocust Ch5	"""Chvilku jsem se potulovala po Tymonu a dělala sem tam různé věci. Chrámy {g|Desna}Desna{/g} mi občas dali nějaké příležitostné práce. Víte, občas potřebovali někoho s dovednostmi jako mám já. Na povrchu to bylo fajn — po Nidal se svoboda {g|River Kingdoms}River Kingdoms{/g} musela zdát jako ráj, šance užívat si života. Ale nebyla jsem šťastná. Nezůstala tam žádná radost. Byla jsem úplně sama. Nikdo se o mě nestaral a mě nikdo nezajímal. Hledala jsem důvod vstát každé ráno... svázat si kámen na krk a skočit do nejbližší řeky se začalo zdát lákavé."""	"""Chvilku jsem se potulovala po Tymonu a dělala sem tam různé věci. Chrámy {g|Desna}Desna{/g} mi občas dali nějaké příležitostné práce. Víte, občas potřebovali někoho s dovednostmi jako mám já. Na povrchu to bylo fajn — po Nidal se svoboda {g|River Kingdoms}River Kingdoms{/g} musela zdát jako ráj, šance užívat si života. Ale nebyla jsem šťastná. Nezůstala tam žádná radost. Byla jsem úplně sama. Nikdo se o mě nestarala a mě nikdo nezajímala. Hledala jsem důvod vstát každé ráno... svázat si kámen na krk a skočit do nejbližší řeky se začalo zdát lákavé."""	yes
e89425c4-5816-4513-8711-6476449bb155	MythicLocust Ch5	"""Jednoho dne mě najali, abych sledovala chlápky, které místní úřady podezřívaly ze špionáže pro {g|Razmiran}Razmiran{/g}. Byla jsem hloupá, udělala jsem začátečnickou chybu a chytili mě. Jako by mé tělo už rozhodlo udělat to, čemu se můj rozum bránil: konečně mě zbavit bolesti. Nechat někoho jiného mě zabít, protože na to já neměla kuráž. Popadli mě. Myslela jsem, že mě na místě roztrhají, místo toho mě svázali a odtáhli... A jako zvíře jdoucí na porážku mi běžela hlavou jen myšlenka „tak ať už je to za námi.“"""	"""Jednohodneměnajali,abybychsledovalachlápky,kterémístníúřadypodezřívalyzešpionážepro{g|Razmiran}Razmiran{/g}. Byla jsem hloupá, udělala jsem začátečnickou chybu a chytili mě. Jako by mé tělo už rozhodlo udělat to, čemu se můj rozum bránila: konečně mě zbavit bolesti. Nechat někoho jiného mě zabít, protože na to já neměla kuráž. Popadli mě. Myslela jsem, že mě na místě roztrhají, místo toho mě svázali a odtáhli... A jako zvíře jdoucí na porážku mi běžela hlavou jen myšlenka „tak ať už je to za námi.“"""	yes
